site,latitude,longitude,time,success,failure,alan
3,32.6217,-85.4726,4,0,6,2.597932993719519
3,32.6217,-85.4726,5,0,6,2.597932993719519
3,32.6217,-85.4726,6,0,6,2.597932993719519
3,32.6217,-85.4726,7,0,6,2.597932993719519
3,32.6217,-85.4726,8,0,6,2.597932993719519
3,32.6217,-85.4726,9,0,6,2.597932993719519
3,32.6217,-85.4726,10,0,6,2.597932993719519
3,32.6217,-85.4726,11,0,6,2.597932993719519
3,32.6217,-85.4726,12,0,6,2.597932993719519
3,32.6217,-85.4726,13,0,6,2.597932993719519
3,32.6217,-85.4726,14,0,6,2.597932993719519
3,32.6217,-85.4726,15,0,6,2.597932993719519
3,32.6217,-85.4726,16,1,5,2.597932993719519
3,32.6217,-85.4726,17,1,5,2.597932993719519
3,32.6217,-85.4726,18,1,5,2.597932993719519
3,32.6217,-85.4726,19,0,6,2.597932993719519
3,32.6217,-85.4726,20,0,6,2.597932993719519
3,32.6217,-85.4726,21,0,6,2.597932993719519
3,32.6217,-85.4726,22,0,6,2.597932993719519
3,32.6217,-85.4726,23,0,6,2.597932993719519
3,32.6217,-85.4726,24,0,6,2.597932993719519
3,32.6217,-85.4726,25,0,6,2.597932993719519
3,32.6217,-85.4726,26,0,6,2.597932993719519
3,32.6217,-85.4726,27,0,6,2.597932993719519
3,32.6217,-85.4726,28,0,6,2.597932993719519
3,32.6217,-85.4726,29,0,6,2.597932993719519
3,32.6217,-85.4726,30,0,6,2.597932993719519
3,32.6217,-85.4726,31,0,6,2.597932993719519
3,32.6217,-85.4726,32,0,6,2.597932993719519
3,32.6217,-85.4726,33,0,6,2.597932993719519
3,32.6217,-85.4726,34,0,6,2.597932993719519
3,32.6217,-85.4726,35,0,6,2.597932993719519
3,32.6217,-85.4726,36,0,6,2.597932993719519
3,32.6217,-85.4726,37,0,6,2.597932993719519
3,32.6217,-85.4726,38,0,6,2.597932993719519
3,32.6217,-85.4726,39,0,6,2.597932993719519
3,32.6217,-85.4726,40,0,6,2.597932993719519
3,32.6217,-85.4726,41,0,6,2.597932993719519
3,32.6217,-85.4726,42,0,6,2.597932993719519
3,32.6217,-85.4726,43,0,6,2.597932993719519
3,32.6217,-85.4726,44,0,6,2.597932993719519
3,32.6217,-85.4726,45,0,6,2.597932993719519
3,32.6217,-85.4726,46,0,6,2.597932993719519
3,32.6217,-85.4726,47,0,6,2.597932993719519
3,32.6217,-85.4726,48,0,6,2.597932993719519
4,32.6218,-85.4728,1,0,6,2.597932993719519
4,32.6218,-85.4728,2,0,6,2.597932993719519
