system:index,avg_rad,.geo
0000000000000000004b_0,4.0691667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004c_0,4.0691667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004d_0,4.0691667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004e_0,4.0691667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000004f_0,4.0691667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000050_0,4.0691667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000051_0,4.0691667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000052_0,0.43416667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000053_0,0.62916666,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000054_0,1.3766667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000055_0,4.1566668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000056_0,1.2458334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000057_0,1.2458334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000058_0,1.2458334,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000059_0,1.2458334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005a_0,1.2458334,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b_0,0.9375,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064_0,3.0608332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079_0,0.91833335,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081_0,1.1591667,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082_0,1.21,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083_0,0.64666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,0.64666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085_0,0.64666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086_0,0.64666665,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087_0,1.1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c_0,3.0483332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d_0,3.0483332,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000093_0,3.0483332,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000094_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000095_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000096_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000097_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000098_0,3.0341668,"{""type"":""MultiPoint"",""coordinates"":[]}"
